,Ticker,Shares
1,UNH,200.1860726271458
2,MRK,1075.1133061163175
3,LLY,182.2022956167932
4,PEP,323.3211271311007
5,LMT,60.57487283508672
6,ABBV,197.4504162636587
7,PFE,897.7196348111161
8,KO,467.4824825747545
9,BMY,550.2501966502357
10,PG,180.87229474549835
